,SRR4425715,SRR4425719,SRR4425713,SRR4425659,SRR4425662,SRR4425712,SRR4425660,SRR4425718,SRR4425710,SRR4425666,SRR4425714,SRR4425711,SRR4425661,SRR4425664,SRR4425663,SRR4425665
MEG_6624|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,7456,0,323,498,187,171,960,142,1580,7551,2890,1710,4437,10472,5681,3110
MEG_7184|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,46128,676820,2193892,1064672,773177,1454843,589009,873589,249596,13427,465648,36188,441867,16124,9020,6968
MEG_6023|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
MEG_3253|Biocides|Acid_resistance|Acid_resistance_protein|HDEA,54323,4191,11077,56290,49432,3381,37239,5777,49665,546,36656,76265,50405,685,284,318
MEG_7052|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,91023,686,7419,29749,29638,170,23174,0,31335,179,26575,15073,49186,242,67,60
MEG_6508|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|SILR,8141,0,0,4222,7542,0,3092,0,5620,587,1781,2648,1929,735,342,297
MEG_7328|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD,246,0,0,286,72,0,390,0,164,0,0,0,0,0,0,0
MEG_3753|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG,124542,8499,16337,92274,86485,5247,55458,8118,75558,1120,59035,102705,90526,1409,791,608
MEG_3805|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,43206,0,0,0,0,0,0,0,19045,8781,0,368,0,9561,5511,3335
MEG_214|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,768,0,0,0,874,460,382
MEG_1158|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,532,0,0,0,0,0,0,0,960,0,1092,378,0,0,0,0
MEG_1085|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,18423,1760,1330,7874,2732,657,2778,753,8806,31958,9167,7600,1945,37803,23752,10714
MEG_6687|Drugs|betalactams|Class_A_betalactamases|TEM,120,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0
MEG_6539|Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|SMVA,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0
MEG_2080|Metals|Copper_resistance|Copper_resistance_regulator|COPY,776,298,595,0,0,128,0,15919,1508,149,1945,1662,0,115,125,89
MEG_1892|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1596|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,43,0,0,0,79,29,0
MEG_7509|Drugs|Glycopeptides|VanD-type_regulator|VANSD,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0
MEG_5353|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,8876,6649,0,2971,0,9460,0,2836
MEG_6017|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0,0,0,0,0,0,0,0,0,21,0,0,0,0,25,0
MEG_1990|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,0,0,0,0,54,137,0,0,0,0
MEG_6938|Drugs|betalactams|Class_A_betalactamases|TEM,427,0,0,556,641,0,175,0,791,53,414,0,355,52,32,38
MEG_2482|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,48,0,0,0,0,0,0,0,0,63,126,50,0,35,0,16
MEG_2075|Metals|Copper_resistance|Copper_resistance_regulator|COPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316
MEG_733|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|AMVA,0,0,0,0,0,0,0,0,0,172,0,0,0,230,207,170
MEG_7495|Drugs|Glycopeptides|VanB-type_regulator|VANSB,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0
MEG_5332|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,105684,4879,11319,35180,61398,4905,51432,5764,76277,1740,62935,125606,75711,2583,1407,988
MEG_5206|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,775,0,0,0,912,513,327
MEG_2844|Drugs|MLS|23S_rRNA_methyltransferases|ERMR,30621,226,4616,384,238,1673,302,876,91194,137,279056,290404,88,191,52,102
MEG_2955|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,99471,4973,10147,53015,48115,3178,36842,4911,69557,1575,43651,94047,61433,0,0,756
MEG_7211|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,184993,130967,251562,211340,269616,272102,170669,139627,118094,9019,313935,133947,207269,10809,6314,3491
MEG_7865|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT,74175,5692,11511,59597,56671,3867,36703,5889,51420,683,39628,72755,55397,900,551,349
MEG_7234|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,65363,83731,169740,299845,305535,157455,255366,94648,55733,14290,76736,26559,259512,16244,10231,5239
MEG_6650|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TCR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2571
MEG_7094|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,2061,1625,7255,228260,229202,2740,193925,4709,5113,0,23610,17507,212345,0,0,0
MEG_6676|Drugs|betalactams|Class_A_betalactamases|TEM,286,0,164,216,544,0,145,0,625,0,315,0,382,0,0,0
MEG_2722|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA,204193,11562,18349,103221,100494,6180,62979,9760,116797,1682,67619,122528,108554,2007,1015,753
MEG_2911|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,261,527,925,0,32,430,0,293,0,338,0,119,0,415,225,122
MEG_7152|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,59910,168469,640122,199805,198516,309433,160845,255388,85504,27025,38997,15743,133041,29477,16567,10665
MEG_1044|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,469,392,3209,9355,2797,728,5313,1097,486,373,1945,1224,1869,478,232,170
MEG_6707|Drugs|betalactams|Class_A_betalactamases|TEM,427,33,106,353,402,0,115,0,525,40,338,109,208,33,0,0
MEG_7862|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,152055,8643,16076,96976,91612,5945,57614,9069,94664,2131,56127,93829,84259,2873,1695,1249
MEG_1627|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,290,0,0,0,307,195,121
MEG_808|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,1131,0,0,385,714,0,332,0,479,577,1360,1424,1523,647,397,250
MEG_7488|Drugs|Glycopeptides|VanA-type_regulator|VANSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_894|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,2714,55,0,931,3016,131,925,65,1741,667,2967,3648,2966,811,396,272
MEG_2445|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|CUID,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0
MEG_7253|Drugs|betalactams|Class_A_betalactamases|TLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
MEG_3839|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,0,0,0,12,0,0,0,0,0,6193,0,138,0,6985,4173,2341
MEG_6917|Drugs|betalactams|Class_A_betalactamases|TEM,187,0,0,162,0,0,0,0,207,0,147,0,0,0,0,0
MEG_2458|Metals|Copper_resistance|Copper_resistance_protein|CUTF,183587,11802,17846,101853,96108,6197,56003,9524,98597,1085,59655,90564,97419,1256,693,603
MEG_6071|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTF,0,0,0,2587,4276,0,1082,0,0,0,0,0,4760,0,0,0
MEG_5360|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20890,11349
MEG_4051|Drugs|MLS|Macrolide_phosphotransferases|MPHN,388,122002,340781,8782,4938,369233,4423,155479,308,121,1300,1386,2186,117,145,196
MEG_4926|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,14,26090,0,0,0,31387,18005,10240
MEG_3751|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE,331461,24615,35522,211682,210071,13634,128852,20234,167157,2703,135252,240096,209148,2936,1685,1277
MEG_4975|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,32,38713,0,0,0,46675,26357,16497
MEG_59|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
MEG_7093|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,124796,2592,15994,297682,299175,3581,228022,22264,72097,0,149700,88201,239846,147,0,137
MEG_4171|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKD,101454,5595,8270,50631,47509,2864,27229,4966,39233,515,28896,44660,47006,573,385,404
MEG_980|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME,1440,573,148,8348,3409,1732,7414,182,1527,69,10325,3587,5324,51,53,0
MEG_4751|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,359,0,0,0,317,210,188
MEG_6608|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,4062,121,51,354,1407,289,297,31,4074,17408,18387,14211,583,21526,11898,6274
MEG_2952|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,0,0,40,0,0,0,0,0,733,224,0,0,808,470,502
MEG_7355|Drugs|Glycopeptides|VanB-type_resistance_protein|VANB,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
MEG_682|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEF,0,0,0,0,0,0,0,0,0,109,0,0,0,103,83,0
MEG_7623|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATC,819,0,0,0,0,0,0,0,1294,0,5242,4463,0,0,0,0
MEG_2992|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,0,0,0,40,0,0,0,0,0,12,0,0,0,0,0,36
MEG_4331|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,0,0,0,0,0,0,0,0,0,107,0,0,0,109,0,0
MEG_1135|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,0,0,0,0,0,0,0,0,0,988,0,0,0,1311,0,0
MEG_3250|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7457,4590
MEG_6578|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,4210,207,307,1545,1544,120,949,195,1960,24,1379,2108,1314,0,34,0
MEG_1195|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,94093,6446,11837,70480,65095,3658,39625,6086,59769,1277,36947,64570,59790,1752,821,748
MEG_6681|Drugs|betalactams|Class_A_betalactamases|TEM,468,0,297,422,1003,0,267,0,990,34,627,209,585,0,0,0
MEG_795|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,3512,106,41,1891,2797,211,1443,91,2007,901,4254,6272,5527,1155,709,451
MEG_3888|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR2,0,0,0,0,0,0,0,0,0,39,0,0,0,31,35,16
MEG_2833|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,2807,11646,37202,43760,18402,32108,11032,24690,10888,130604,3678,250,5989,149493,85639,42775
MEG_4285|Drugs|betalactams|Mutant_porin_proteins|OMPD,1442,0,0,0,0,0,0,0,8502,0,717,317,0,0,0,0
MEG_7318|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,249460,76215,198074,69827,81689,148689,46131,80351,102386,38367,213293,118030,75614,50833,29282,16339
MEG_7842|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|YOGI,583,0,0,121,92,0,159,0,334,0,0,126,96,0,0,0
MEG_6124|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,54762,0,0,7917,0,0,6066,0,41536,2726,80500,46696,0,3149,1932,0
MEG_7240|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,52895,126369,184085,260056,107469,182287,69632,135994,127866,4051,74241,5936,36170,5191,2806,2057
MEG_7839|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_SMR_efflux_pump|YKKC,0,0,0,0,0,0,0,16,0,41,0,0,0,0,28,36
MEG_7306|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,35275,24141,33183,21380,26655,44940,17212,24140,26948,260844,48156,24626,17446,358492,215569,99793
MEG_1103|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|APMA,0,0,0,0,0,0,0,0,0,90,0,0,0,118,82,64
MEG_3872|Metals|Mercury_resistance|Mercury_resistance_protein|MERH,0,0,0,0,0,0,0,0,0,148,0,0,0,92,242,342
MEG_6919|Drugs|betalactams|Class_A_betalactamases|TEM,377,31,0,479,212,0,148,0,527,127,196,57,136,132,67,0
MEG_2461|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCA,0,0,0,0,0,0,0,0,0,1193,0,0,0,1350,1046,0
MEG_7832|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|YGJH,125632,8469,13980,88896,81701,5351,49327,8050,63395,1094,50040,83787,85389,1408,729,502
MEG_7076|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETG,0,1128,4143,741,0,1123,391,586,0,2224,1768,0,253,2712,1539,743
MEG_5356|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,4383,0,0,0,4896,3086,1808
MEG_2902|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,0,1158,714,0,0,3486,0,597,0,0,0,0,0,0,0,0
MEG_4005|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,33732,2292,5322,29941,25350,1814,18389,2556,23290,450,17393,33777,26146,483,256,244
MEG_6096|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,33667,823587,0,0,0,1116608,670749,292353
MEG_6927|Drugs|betalactams|Class_A_betalactamases|TEM,791,0,0,1011,1701,0,459,0,1660,0,978,0,0,0,0,0
MEG_7087|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETJ,555,0,0,0,0,0,0,0,4713,0,0,0,0,0,0,0
MEG_888|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,2010,116,0,968,1281,133,720,61,937,4967,3062,2905,2407,5954,3657,1959
MEG_1770|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,0,0,0,0,0,0,0,0,0,505,0,0,0,637,316,242
MEG_6943|Drugs|betalactams|Class_A_betalactamases|TEM,441,0,410,447,902,0,344,0,1315,221,650,277,687,291,124,102
MEG_6605|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,4280,0,0,0,1506,0,294,0,4100,17193,18202,13129,754,21360,12543,6095
MEG_3786|Drugs|betalactams|Penicillin_binding_protein|MECA,0,0,0,81,0,0,95,0,0,120,0,0,0,0,0,0
MEG_6730|Drugs|betalactams|Class_A_betalactamases|TEM,337,0,87,309,377,0,142,0,499,17,280,139,0,0,0,0
MEG_1999|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
MEG_2197|Drugs|betalactams|Class_A_betalactamases|CTX,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
MEG_1559|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,0,262,114,0,0,1782,0,274,0,0,102,46,0,0,0,0
MEG_2790|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,121107,1432,1203,67596,66180,0,52829,1976,75571,6664,551642,208877,60018,7119,0,2526
MEG_173|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,218,0,0,0,0,0,0,191,244,37,280,233,0,0,36,0
MEG_4182|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMD,0,0,0,0,0,0,0,0,0,232,0,0,0,217,162,124
MEG_1737|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEA,498,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_883|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,3743,113,0,1672,4455,200,1405,107,2408,715,4476,5756,5251,864,516,285
MEG_3811|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,6293,0,0,0,0,0,0,110773,10298,21586,14495,2879,0,22541,14372,7663
MEG_6865|Drugs|betalactams|Class_A_betalactamases|TEM,427,0,334,353,912,0,283,0,997,74,556,237,541,84,53,48
MEG_2667|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,0,0,0,0,0,0,0,0,0,1949,0,0,0,2553,1575,857
MEG_3168|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|GOLT,833,0,0,0,0,0,0,0,299,0,257,0,0,0,0,0
MEG_1588|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0,0,0,28,16,0,0,0,0,0,0,0,0,0,0,0
MEG_6880|Drugs|betalactams|Class_A_betalactamases|TEM,847,0,443,986,1401,0,450,0,1634,95,836,312,0,128,0,68
MEG_4980|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,515,0,0,0,648,412,247
MEG_6014|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRD,0,0,0,0,0,0,65,0,0,0,0,0,0,73,26,0
MEG_4011|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,0,0,0,0,0,0,0,0,0,1591,0,0,0,1532,1514,1231
MEG_6941|Drugs|betalactams|Class_A_betalactamases|TEM,580,76,469,578,1627,0,432,0,1562,86,829,317,964,108,0,0
MEG_2139|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CTPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4496
MEG_6796|Drugs|betalactams|Class_A_betalactamases|TEM,508,52,352,415,1009,0,338,0,1111,37,602,287,678,0,41,0
MEG_7458|Drugs|Glycopeptides|VanA-type_regulator|VANRA,0,0,0,0,0,0,0,0,0,174,0,0,0,168,135,102
MEG_6072|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTF,0,0,0,2119,3715,0,1022,0,0,0,0,0,4150,0,0,0
MEG_847|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,1302,0,0,0,795,0,0,0,520,740,1193,1779,1689,975,516,280
MEG_1686|Drugs|betalactams|Class_A_betalactamases|CFX,138,155302,1076538,158307,160202,428736,69805,333389,0,2880,51,110,77684,3741,1524,1717
MEG_5336|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,419,0,0,0,595,357,0
MEG_802|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,3760,113,42,1420,3899,183,1219,74,2040,698,3861,4619,4859,760,461,283
MEG_6749|Drugs|betalactams|Class_A_betalactamases|TEM,243,0,0,0,0,0,0,0,379,0,0,0,257,0,0,0
MEG_4075|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRE,63,285,0,223,241,0,357,274,327,434343,118,0,78,526462,302625,170861
MEG_2796|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,264744,4093,3812,553474,550102,3113,446094,32040,245255,44294,636986,370681,460138,45766,26981,15115
MEG_6975|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET33,47123,392,237,5168,2208,878,2520,83,81187,415,297869,198914,1744,445,398,339
MEG_6134|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,21356,58404,45068,29519,0,70318,48465,20697
MEG_4283|Drugs|betalactams|Mutant_porin_proteins|OMP37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,260
MEG_2566|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB,0,0,0,0,0,0,0,0,0,1861,0,0,0,2400,1401,599
MEG_7348|Drugs|Glycopeptides|VanB-type_resistance_protein|VANB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_680|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
MEG_1784|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMX,414,20802,7095,907,272,40412,300,5426,537,155,2044,1257,94,288,185,135
MEG_2924|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,453,1632,3330,0,121,1989,28,957,0,304,0,0,0,265,181,92
MEG_1064|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,0,0,0,0,0,0,0,0,0,3939,0,0,0,4741,2597,1501
MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_6858|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,0,0,103,0,42,0,0,0,0,0
